count,judge,statute,judge_total,stat_totals
0,MP_DONNELLY,2903.02,27,812
1,MP_DONNELLY,2903.03,3,45
2,MP_DONNELLY,2903.04,2,183
3,MP_DONNELLY,2903.041,0,17
4,MP_DONNELLY,2903.05,0,5
5,MP_DONNELLY,2903.06,1,99
6,MP_DONNELLY,2903.08,8,367
7,MP_DONNELLY,2903.09,0,0
8,MP_DONNELLY,2903.11,179,6639
9,MP_DONNELLY,2903.13,91,3694
10,MP_DONNELLY,2903.21,81,2701
11,MP_DONNELLY,2905.01,136,4582
12,MP_DONNELLY,2905.02,55,1706
13,MP_DONNELLY,2950.05,31,944
14,MP_DONNELLY,2907.02,41,1561
15,MP_DONNELLY,2907.03,10,425
16,MP_DONNELLY,2907.04,15,430
17,MP_DONNELLY,2907.05,35,1253
18,MP_DONNELLY,2907.06,3,91
19,MP_DONNELLY,2907.07,9,187
20,MP_DONNELLY,2907.08,3,17
21,MP_DONNELLY,2907.09,1,51
22,MP_DONNELLY,2907.19,0,1
23,MP_DONNELLY,2907.21,1,38
24,MP_DONNELLY,2907.22,0,57
25,MP_DONNELLY,2907.31,3,164
26,MP_DONNELLY,2907.311,0,1
27,MP_DONNELLY,2907.32,6,304
28,MP_DONNELLY,2907.321,1,7
29,MP_DONNELLY,2907.322,5,249
30,MP_DONNELLY,2907.323,5,217
31,MP_DONNELLY,2909.02,5,196
32,MP_DONNELLY,2909.03,4,135
33,MP_DONNELLY,2909.04,39,1082
34,MP_DONNELLY,2909.05,54,1585
35,MP_DONNELLY,2909.06,82,2885
36,MP_DONNELLY,2909.09,1,4
37,MP_DONNELLY,2909.22,0,0
38,MP_DONNELLY,2909.23,0,6
39,MP_DONNELLY,2909.24,0,1
40,MP_DONNELLY,2909.26,0,0
41,MP_DONNELLY,2909.27,0,1
42,MP_DONNELLY,2913.02,296,11775
43,MP_DONNELLY,2913.03,10,759
44,MP_DONNELLY,2911.01,60,1999
45,MP_DONNELLY,2911.02,79,2966
46,MP_DONNELLY,2911.11,45,1355
47,MP_DONNELLY,2911.12,130,4536
48,MP_DONNELLY,2911.13,51,1953
49,MP_DONNELLY,2913.07,0,0
50,MP_DONNELLY,2913.04,1,107
51,MP_DONNELLY,2903.11,179,6639
52,MP_DONNELLY,2903.12,51,1765
53,MP_DONNELLY,2911.21,14,459
54,MP_DONNELLY,2913.05,8,318
55,MP_DONNELLY,2903.13,91,3694
56,MP_DONNELLY,2903.21,81,2701
57,MP_DONNELLY,2903.211,24,759
58,MP_DONNELLY,2903.31,0,0
59,MP_DONNELLY,2903.32,0,0
60,MP_DONNELLY,4511.19,0,0
61,MP_DONNELLY,2905.11,1,35
62,MP_DONNELLY,2905.32,0,10
63,MP_DONNELLY,2907.09,1,51
64,MP_DONNELLY,2909.02,5,196
65,MP_DONNELLY,2919.21,19,1023
66,MP_DONNELLY,2913.11,12,334
67,MP_DONNELLY,2913.21,15,837
68,MP_DONNELLY,2913.30,0,0
69,MP_DONNELLY,2913.31,51,1804
70,MP_DONNELLY,2913.40,0,4
71,MP_DONNELLY,2913.401,0,1
72,MP_DONNELLY,2913.42,28,1020
73,MP_DONNELLY,2913.421,0,0
74,MP_DONNELLY,2913.44,0,2
75,MP_DONNELLY,2913.46,6,323
76,MP_DONNELLY,2913.47,0,34
77,MP_DONNELLY,2913.48,0,39
78,MP_DONNELLY,2913.49,18,908
79,MP_DONNELLY,2913.51,100,3905
80,MP_DONNELLY,2915.02,0,25
81,MP_DONNELLY,2917.01,0,24
82,MP_DONNELLY,2917.02,1,55
83,MP_DONNELLY,2917.11,5,150
84,MP_DONNELLY,2917.21,13,504
85,MP_DONNELLY,2917.211,0,0
86,MP_DONNELLY,2917.31,4,97
87,MP_DONNELLY,2919.01,0,0
88,MP_DONNELLY,2919.10,0,0
89,MP_DONNELLY,2919.22,50,2274
90,MP_DONNELLY,2919.21,19,1023
91,MP_DONNELLY,2919.23,1,42
92,MP_DONNELLY,2919.25,182,7190
93,MP_DONNELLY,2919.27,16,423
94,MP_DONNELLY,2921.02,0,43
95,MP_DONNELLY,2921.03,0,66
96,MP_DONNELLY,2921.04,16,672
97,MP_DONNELLY,2921.11,1,8
98,MP_DONNELLY,2921.12,47,1916
99,MP_DONNELLY,2921.31,34,1161
100,MP_DONNELLY,2921.32,10,192
101,MP_DONNELLY,2921.33,73,2511
102,MP_DONNELLY,2921.34,56,1760
103,MP_DONNELLY,2921.36,13,514
104,MP_DONNELLY,2921.38,13,263
105,MP_DONNELLY,2921.41,0,31
106,MP_DONNELLY,2921.44,0,2
107,MP_DONNELLY,2921.45,0,2
108,MP_DONNELLY,2923.01,0,18
109,MP_DONNELLY,2923.02,0,2
110,MP_DONNELLY,2923.12,127,4548
111,MP_DONNELLY,2923.13,117,4605
112,MP_DONNELLY,2923.15,10,170
113,MP_DONNELLY,2923.20,1,150
114,MP_DONNELLY,2923.24,210,8509
115,MP_DONNELLY,2923.32,0,14
116,MP_DONNELLY,2923.42,0,53
117,MP_DONNELLY,2925.03,220,8016
118,MP_DONNELLY,2925.04,3,158
119,MP_DONNELLY,2925.06,0,0
120,MP_DONNELLY,2925.11,317,14050
121,MP_DONNELLY,2925.23,2,263
122,MP_DONNELLY,2927.01,0,29
123,MP_DONNELLY,2927.03,0,0
124,MP_DONNELLY,2927.12,1,29
125,MP_DONNELLY,2950.06,24,755
126,MP_DONNELLY,2963.24,0,2
127,JP_ODONNELL,2903.02,20,812
128,JP_ODONNELL,2903.03,2,45
129,JP_ODONNELL,2903.04,7,183
